"table s28:  perceptions of police contact and complaints process, year ending march 2011 to year ending march 2017 csew",unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,age_band
England and Wales,,,Adults aged 16 and over,,,,,,unknown
,,,,,,,,April 2016 to March 2017 compared with:,unknown
,Apr '10 to Mar '11,Apr '11 to Mar '12,Apr '12 to Mar '13,Apr '13 to Mar '14,Apr '14 to Mar '15,Apr '15 to Mar '16,Apr '16 to Mar '17,Apr '15 to Mar '16,unknown
,Percentages,,,,,,,Statistically significant difference,unknown
Respondent ever annoyed with the police1,,,,,,,,,unknown
Yes,25.144287487763055,26.33193163578882,29.33573208729376,28.974732995726143,26.532059421840202,22.96937935312359,24.271289764280404,,unknown
No,74.85571251223695,73.66806836421118,70.66426791270625,71.02526700427386,73.46794057815981,77.03062064687641,75.7287102357196,,unknown
Unweighted base - number of adults,11516,11347,4548,9186,8544,9050,9144,,unknown
Respondent been annoyed with police in last 5 years2,,,,,,,,,unknown
Yes,67.75600907242031,64.18431069990379,63.53229000882972,60.43851937840837,59.20105987886938,59.21083871372333,62.42044092440977,,unknown
No,32.243990927579695,35.815689300096196,36.467709991170274,39.56148062159161,40.79894012113062,40.78916128627667,37.57955907559024,,unknown
Unweighted base - number of adults,2826,2930,1295,2624,2196,2066,2201,,unknown
Respondent made official complaint against police in last 5 years3,,,,,,,,,unknown
Yes,12.606315055637593,10.472316170200697,9.980127998703757,10.92584650242785,9.894689194035935,9.955061981408221,7.861937749830314,,unknown
Tried to but failed,2.4019448589917864,3.324840930585716,1.2254750759730224,1.77476866223551,1.0383652204594565,1.8232146713242687,2.4657820044153067,,unknown
No,84.99174008537062,86.20284289921359,88.79439692532323,87.29938483533664,89.06694558550461,88.22172334726751,89.67228024575438,,unknown
Unweighted base - number of adults,1776,1783,764,1505,1216,1134,1316,,unknown
Respondent satisfaction with handling of complaint4,,,,,,,,,unknown
Very satisfied,11.897092501841898,12.218675890162494,12.118444156502616,12.383798171906061,9.64606534612714,5.987829951628609,5.136918921912369,,unknown
Fairly satisfied,13.569683376975169,12.436073372368025,9.791759565224263,15.447309625625516,18.16463408737587,9.591172597036064,14.968768383502558,,unknown
A bit dissatisified,17.832215859894944,15.811980004232861,15.879790343157039,12.932742148420878,11.417280285442242,14.32658322398984,21.917987312453032,,unknown
Very dissatisfied,56.701008261288,59.53327073323662,62.21000593511607,59.23615005404754,60.772020281054736,70.0944142273455,57.97632538213203,,unknown
Unweighted base - number of adults,254,243,95,187,148,149,136,,unknown
Reason respondent did not make complaint5,,,,,,,,,unknown
Could see no benefit to making a complaint/no point,65.41114659220851,63.774142180347646,65.57387596394184,70.3853264615345,67.45651207257778,67.93384509424548,74.23996143400649,*,unknown
Was not the appropriate person to make the complaint/none of my business,13.19187507881526,13.697117155223232,12.984177479309606,12.164605278419383,15.494927864052205,14.767683071676377,10.513165239672155,*,unknown
Did not know who to complain to/how to complain,7.965832145797652,9.612445698872236,9.664491466841495,8.793530829896431,8.72023993059937,9.57827397862733,8.997254776118965,,unknown
"Unsure of consequences of making a complaint/worried about police response
",11.102692141681905,10.488953093427135,9.952258256349639,6.106211257087443,5.973436593131915,5.68847607909957,4.537702432269998,,unknown
Too long after the incident/left it too late,2.328454041496668,2.427341872129753,1.8251968335574287,2.5503261730622393,2.354883539638736,2.031721776351254,1.7119161179323983,,unknown
Unweighted base - number of adults,1521,1541,668,1293,1059,978,1194,,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,,,unknown
1. Respondents were asked the question: 'Have you ever been really annoyed about the way a police officer behaved towards you or someone you know OR about the way the police handled a matter in which you were involved?',,,,,,,,,unknown
2. Asked of respondents who replied 'yes' to having ever been annoyed with the police.,,,,,,,,,unknown
3. Asked of respondents who replied 'yes' to having been annoyed with the police in the last five years.,,,,,,,,,unknown
"4. Asked of respondents who said that they did, or tried but failed to, make an official complaint against the police in the last five years.",,,,,,,,,unknown
"5. Asked of respondents who said that they did not, or tried but failed to, make an official complaint against the police in the last five years.",,,,,,,,,unknown
