"table s34: percentage of people aged 16 and over who have seen or heard about police actions to tackle crime and anti-social behaviour (asb) in the last 12 months and the source of this information,",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
"England and Wales, year ending March 2017 to year ending March 2024",,,,,,,,,unknown
This worksheet contains one table. The units in this table are percentage. Some cells refer to notes which can be found on the Notes worksheet.,,,,,,,,,unknown
Link to Notes page,,,,,,,,,unknown
Some shorthand is used in this table. [s] Denotes the change is significant at the 5% level. [ns] Denotes the change was not significant at the 5% level.								,,,,,,,,,unknown
Link to Table of contents,,,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,unknown
Source of information of police actions to tackle crime and ASB,"April 2016 to March 2017
 "," April 2017 to March 2018
 "," April 2018 to March 2019
"," April 2019 to March 2020
"," April 2022 to March 2023
", April 2023 to March 2024,April 2023 to March 2024 compared with April 2016 to March 2017,April 2023 to March 2024 compared with April 2022 to March 2023,unknown
Aware of police actions - Yes,20.619623497930107,19.68096386217424,20.18724538110774,17.3167719864241,15.45040125957828,14.486753829372375,[s],[ns],unknown
Social media (e.g. Facebook/Twitter),18.162734745612504,18.226457301066866,24.737268897433083,31.54681267795411,38.287099592990565,35.414778976877024,[s],[ns],unknown
Newsletters ,41.02893270012412,44.43713114623032,40.674191276688845,36.79205335414611,33.30864613370737,30.951161371952736,[s],[ns],unknown
E-mail notifications ,8.73588411537291,9.341124008531024,7.268762896330822,8.3732719583672,9.937155002909833,10.473902989354672,[ns],[ns],unknown
Community messaging ,17.448934010697936,17.000256330750535,16.1673021225843,19.560318182013432,22.16481271794082,22.046670508653936,[s],[ns],unknown
Public meeting ,6.938902783063523,7.039927174115008,8.195615276044526,7.369059320430889,5.261521652237289,6.432730438711687,[ns],[ns],unknown
Local newspapers ,34.35077120580773,30.96216959713576,28.555769383907347,29.42479409728555,23.593175609647098,18.97983809542523,[s],[s],unknown
On a website (e.g. police force's own website),8.519454421413949,6.910836955429532,8.255246090254495,8.759249442751377,7.458703967133053,9.993038546922016,[ns],[ns],unknown
Other ,16.3616488192785,14.295961118143682,13.847736032120576,11.390692385668514,9.47912331868909,10.770380560932491,[s],[ns],unknown
None of these ,2.34224241582924,1.1584750269058581,1.242727399912106,1.6871938838143634,4.1731408163271855,3.772683629857534,[ns],[ns],unknown
Aware of police actions - No,79.3803765020698,80.31903613782563,79.81275461889234,82.68322801357564,84.54959874042193,85.51324617062762,[s],[ns],unknown
Unweighted base - number of people aged 16 and over,9107,8870,8723,8745,7963,7946,,,unknown
